Date,Close
2017-01-03,175.45
2017-01-04,175.54
2017-01-05,176.14
2017-01-06,177.46
2017-01-09,176.07
2017-01-10,176.36
2017-01-11,177.07
2017-01-12,176.52
2017-01-13,177.89
2017-01-17,175.97
2017-01-18,175.99
2017-01-19,177.81
2017-01-20,178.28
2017-01-23,177.23
2017-01-24,177.25
2017-01-25,175.32
2017-01-26,177.3
2017-01-27,185.14
2017-01-30,182.47
2017-01-31,181.08
2017-02-01,181.03
2017-02-02,180.36
2017-02-03,183.12
2017-02-06,183.04
2017-02-07,183.21
2017-02-08,183.14
2017-02-09,182.59
2017-02-10,184.4
2017-02-13,186.6
2017-02-14,187.23
2017-02-15,187.99
2017-02-16,188.74
2017-02-17,189.06
2017-02-21,189.59
2017-02-22,189.89
2017-02-23,188.3
2017-02-24,189.63
2017-02-27,190.4
2017-02-28,189.81
2017-03-01,192.41
2017-03-02,191.05
2017-03-03,189.65
2017-03-06,190.94
2017-03-07,191.47
2017-03-08,190.38
2017-03-09,190.34
2017-03-10,190.84
2017-03-13,191.56
2017-03-14,189.75
2017-03-15,191.66
2017-03-16,190.65
2017-03-17,193.27
2017-03-20,191.98
2017-03-21,188.69
2017-03-22,189.6
2017-03-23,189.56
2017-03-24,187.52
2017-03-27,185.49
2017-03-28,188.44
2017-03-29,188.29
2017-03-30,188.78
2017-03-31,187.2
2017-04-03,187.74
2017-04-04,187.72
2017-04-05,185.85
2017-04-06,186.3
2017-04-07,188.04
2017-04-10,187.66
2017-04-11,188.38
2017-04-12,186.34
2017-04-13,186.73
2017-04-17,188.89
2017-04-18,187.38
2017-04-19,187.75
2017-04-20,188.13
2017-04-21,188.94
2017-04-24,191.91
2017-04-25,193.24
2017-04-26,194.85
2017-04-27,195.03
2017-04-28,193.79
2017-05-01,193.15
2017-05-02,194.07
2017-05-03,194.18
2017-05-04,194.55
2017-05-05,195.97
2017-05-08,196.33
2017-05-09,196.59
2017-05-10,194.39
2017-05-11,194.98
2017-05-12,195.59
2017-05-15,195.18
2017-05-16,195.29
2017-05-17,192.01
2017-05-18,192.64
2017-05-19,195.87
2017-05-22,197.75
2017-05-23,199.32
2017-05-24,199.98
2017-05-25,201.09
2017-05-26,202.24
2017-05-30,202.01
2017-05-31,203.25
2017-06-01,202.52
2017-06-02,203.7
2017-06-05,201.47
2017-06-06,198.44
2017-06-07,198.87
2017-06-08,199.64
2017-06-09,199.47
2017-06-12,198.4
2017-06-13,200.55
2017-06-14,201.28
2017-06-15,202.03
2017-06-16,202.67
2017-06-19,204.52
2017-06-20,203.86
2017-06-21,203.89
2017-06-22,201.26
2017-06-23,201.32
2017-06-26,200.2
2017-06-27,198.84
2017-06-28,200.83
2017-06-29,196.96
2017-06-30,198.1
2017-07-03,199.66
2017-07-05,200.74
2017-07-06,199.02
2017-07-07,201.26
2017-07-10,201.07
2017-07-11,199.91
2017-07-12,201.11
2017-07-13,200.15
2017-07-14,201.15
2017-07-17,200.14
2017-07-18,201.42
2017-07-19,202.34
2017-07-20,202.4
2017-07-21,204.55
2017-07-24,204.93
2017-07-25,203.56
2017-07-26,194.66
2017-07-27,193.84
2017-07-28,197.94
2017-07-31,196.33
2017-08-01,196.53
2017-08-02,198.04
2017-08-03,199.33
2017-08-04,200.07
2017-08-07,201.14
2017-08-08,198.8
2017-08-09,201.0
2017-08-10,198.28
2017-08-11,197.89
2017-08-14,200.3
2017-08-15,199.49
