Date,Close
2017-01-03,51.46
2017-01-04,51.84
2017-01-05,50.97
2017-01-06,51.3
2017-01-09,51.07
2017-01-10,51.22
2017-01-11,51.79
2017-01-12,51.43
2017-01-13,51.69
2017-01-17,50.31
2017-01-18,50.56
2017-01-19,50.73
2017-01-20,51.2
2017-01-23,50.97
2017-01-24,51.77
2017-01-25,52.45
2017-01-26,52.95
2017-01-27,52.99
2017-01-30,52.85
2017-01-31,52.65
2017-02-01,53.03
2017-02-02,53.13
2017-02-03,53.66
2017-02-06,53.4
2017-02-07,53.2
2017-02-08,52.89
2017-02-09,53.54
2017-02-10,53.61
2017-02-13,54.13
2017-02-14,54.55
2017-02-15,55.14
2017-02-16,55.01
2017-02-17,54.88
2017-02-21,55.2
2017-02-22,55.31
2017-02-23,55.4
2017-02-24,55.1
2017-02-27,55.29
2017-02-28,55.0
2017-03-01,56.41
2017-03-02,55.48
2017-03-03,55.55
2017-03-06,55.29
2017-03-07,55.03
2017-03-08,54.87
2017-03-09,54.94
2017-03-10,54.94
2017-03-13,54.92
2017-03-14,55.0
2017-03-15,54.96
2017-03-16,55.03
2017-03-17,54.69
2017-03-20,54.24
2017-03-21,52.69
2017-03-22,52.6
2017-03-23,52.58
2017-03-24,52.57
2017-03-27,52.2
2017-03-28,52.71
2017-03-29,51.75
2017-03-30,52.12
2017-03-31,51.5
2017-04-03,51.55
2017-04-04,51.46
2017-04-05,51.04
2017-04-06,51.35
2017-04-07,51.15
2017-04-10,50.78
2017-04-11,50.89
2017-04-12,50.7
2017-04-13,49.98
2017-04-17,50.54
2017-04-18,49.8
2017-04-19,49.69
2017-04-20,50.68
2017-04-21,50.51
2017-04-24,51.56
2017-04-25,52.13
2017-04-26,52.12
2017-04-27,51.92
2017-04-28,51.28
2017-05-01,51.7
2017-05-02,51.57
2017-05-03,52.21
2017-05-04,52.31
2017-05-05,51.77
2017-05-08,52.0
2017-05-09,51.58
2017-05-10,51.97
2017-05-11,51.64
2017-05-12,51.41
2017-05-15,51.77
2017-05-16,51.96
2017-05-17,50.46
2017-05-18,50.74
2017-05-19,51.1
2017-05-22,51.44
2017-05-23,51.96
2017-05-24,51.79
2017-05-25,51.77
2017-05-26,51.44
2017-05-30,51.1
2017-05-31,50.89
2017-06-01,51.53
2017-06-02,51.3
2017-06-05,51.33
2017-06-06,50.88
2017-06-07,51.14
2017-06-08,51.78
2017-06-09,52.89
2017-06-12,52.85
2017-06-13,52.94
2017-06-14,52.84
2017-06-15,52.38
2017-06-16,52.27
2017-06-19,52.57
2017-06-20,52.34
2017-06-21,52.0
2017-06-22,51.3
2017-06-23,50.77
2017-06-26,51.01
2017-06-27,51.42
2017-06-28,51.98
2017-06-29,51.78
2017-06-30,51.92
2017-07-03,52.58
2017-07-05,52.66
2017-07-06,52.18
2017-07-07,52.46
2017-07-10,52.31
2017-07-11,51.77
2017-07-12,51.9
2017-07-13,52.22
2017-07-14,52.08
2017-07-17,52.03
2017-07-18,51.63
2017-07-19,52.08
2017-07-20,52.48
2017-07-21,52.12
2017-07-24,52.79
2017-07-25,53.17
2017-07-26,52.43
2017-07-27,52.43
2017-07-28,52.57
2017-07-31,52.78
2017-08-01,52.95
2017-08-02,52.99
2017-08-03,52.68
2017-08-04,53.12
2017-08-07,53.12
2017-08-08,53.19
2017-08-09,53.23
2017-08-10,52.38
2017-08-11,52.05
2017-08-14,52.79
2017-08-15,52.98
2017-08-16,52.85
2017-08-17,51.72
2017-08-18,51.68
2017-08-21,51.67
2017-08-22,51.94
2017-08-23,51.81
2017-08-24,51.85
2017-08-25,52.07
2017-08-28,51.96
2017-08-29,51.5
2017-08-30,51.59
2017-08-31,51.25
2017-09-01,51.68
2017-09-05,50.87
2017-09-06,50.91
2017-09-07,49.86
2017-09-08,49.98
2017-09-11,50.88
2017-09-12,51.57
2017-09-13,52.04
2017-09-14,51.64
2017-09-15,51.81
2017-09-18,52.38
2017-09-19,53.16
2017-09-20,53.52
2017-09-21,53.74
2017-09-22,53.67
2017-09-25,53.61
2017-09-26,53.6
2017-09-27,54.15
2017-09-28,53.48
2017-09-29,53.59
2017-10-02,53.44
2017-10-03,53.47
2017-10-04,53.15
2017-10-05,53.76
2017-10-06,54.18
2017-10-09,53.85
2017-10-10,54.23
2017-10-11,54.26
2017-10-12,53.99
2017-10-13,54.13
2017-10-16,54.26
2017-10-17,53.88
2017-10-18,53.27
2017-10-19,53.59
2017-10-20,54.09
2017-10-23,54.13
2017-10-24,54.21
2017-10-25,54.14
2017-10-26,54.3
2017-10-27,54.44
2017-10-30,54.26
2017-10-31,54.38
2017-11-01,54.48
2017-11-02,54.88
2017-11-03,54.65
2017-11-06,54.85
2017-11-07,53.45
2017-11-08,52.68
2017-11-09,52.11
