Date,Close
2017-01-03,93.35
2017-01-04,94.44
2017-01-05,94.71
2017-01-06,93.95
2017-01-09,94.29
2017-01-10,94.19
2017-01-11,93.7
2017-01-12,93.89
2017-01-13,94.03
2017-01-17,93.5
2017-01-18,93.57
2017-01-19,93.49
2017-01-20,93.3
2017-01-23,93.51
2017-01-24,94.48
2017-01-25,94.95
2017-01-26,94.85
2017-01-27,93.95
2017-01-30,93.48
2017-01-31,93.26
2017-02-01,93.24
2017-02-02,93.85
2017-02-03,95.17
2017-02-06,95.05
2017-02-07,95.26
2017-02-08,95.23
2017-02-09,96.32
2017-02-10,96.86
2017-02-13,97.17
2017-02-14,98.36
2017-02-15,99.46
2017-02-16,100.43
2017-02-17,100.27
2017-02-21,101.62
2017-02-22,101.08
2017-02-23,104.15
2017-02-24,104.5
2017-02-27,107.25
2017-02-28,106.76
2017-03-01,108.36
2017-03-02,106.06
2017-03-03,106.3
2017-03-06,105.54
2017-03-07,105.77
2017-03-08,105.99
2017-03-09,105.93
2017-03-10,106.47
2017-03-13,106.83
2017-03-14,106.28
2017-03-15,107.06
2017-03-16,107.22
2017-03-17,107.29
2017-03-20,107.53
2017-03-21,106.42
2017-03-22,106.64
2017-03-23,106.585
2017-03-24,105.7
2017-03-27,105.65
2017-03-28,106.19
2017-03-29,106.55
2017-03-30,106.77
2017-03-31,106.87
2017-04-03,106.79
2017-04-04,105.57
2017-04-05,105.17
2017-04-06,106.14
2017-04-07,105.59
2017-04-10,105.86
2017-04-11,105.94
2017-04-12,105.56
2017-04-13,105.37
2017-04-17,106.4
2017-04-18,107.17
2017-04-19,107.78
2017-04-20,108.01
2017-04-21,108.0
2017-04-24,109.6
2017-04-25,109.77
2017-04-26,110.0
2017-04-27,110.15
2017-04-28,110.16
2017-05-01,110.9
2017-05-02,110.85
2017-05-03,111.0
2017-05-04,119.49
2017-05-05,121.2
2017-05-08,121.13
2017-05-09,121.29
2017-05-10,120.54
2017-05-11,119.89
2017-05-12,119.9
2017-05-15,120.46
2017-05-16,121.3
2017-05-17,119.84
2017-05-18,120.34
2017-05-19,122.2
2017-05-22,124.12
2017-05-23,124.66
2017-05-24,124.01
2017-05-25,126.21
2017-05-26,125.72
2017-05-30,126.78
2017-05-31,126.33
2017-06-01,127.86
