Date,Close
2017-01-03,12.59
2017-01-04,13.17
2017-01-05,12.77
2017-01-06,12.76
2017-01-09,12.63
2017-01-10,12.85
2017-01-11,12.67
2017-01-12,12.59
2017-01-13,12.63
2017-01-17,12.61
2017-01-18,12.41
2017-01-19,12.43
2017-01-20,12.36
2017-01-23,12.31
2017-01-24,12.61
2017-01-25,12.79
2017-01-26,12.37
2017-01-27,12.49
2017-01-30,12.37
2017-01-31,12.36
2017-02-01,12.32
2017-02-02,12.28
2017-02-03,12.56
2017-02-06,12.52
2017-02-07,12.34
2017-02-08,12.38
2017-02-09,12.38
2017-02-10,12.51
2017-02-13,12.56
2017-02-14,12.65
2017-02-15,12.63
2017-02-16,12.54
2017-02-17,12.58
2017-02-21,12.69
2017-02-22,12.67
2017-02-23,12.56
2017-02-24,12.47
2017-02-27,12.66
2017-02-28,12.53
2017-03-01,12.69
2017-03-02,12.66
2017-03-03,12.65
2017-03-06,12.52
2017-03-07,12.46
2017-03-08,12.53
2017-03-09,12.5
2017-03-10,12.53
2017-03-13,12.54
2017-03-14,12.55
2017-03-15,12.65
2017-03-16,12.7
2017-03-17,12.48
2017-03-20,12.28
2017-03-21,11.72
2017-03-22,11.77
2017-03-23,11.67
2017-03-24,11.62
2017-03-27,11.46
2017-03-28,11.65
2017-03-29,11.68
2017-03-30,11.68
2017-03-31,11.64
2017-04-03,11.44
2017-04-04,11.37
2017-04-05,11.26
2017-04-06,11.27
2017-04-07,11.23
2017-04-10,11.25
2017-04-11,11.28
2017-04-12,11.23
2017-04-13,11.11
2017-04-17,11.28
2017-04-18,11.14
2017-04-19,11.19
2017-04-20,11.47
2017-04-21,11.34
2017-04-24,11.43
2017-04-25,11.48
2017-04-26,11.6
2017-04-27,11.47
2017-04-28,11.47
2017-05-01,11.42
2017-05-02,10.92
2017-05-03,11.07
2017-05-04,11.0
2017-05-05,11.14
2017-05-08,11.13
2017-05-09,11.16
2017-05-10,11.04
2017-05-11,11.01
2017-05-12,10.92
2017-05-15,10.94
2017-05-16,10.94
2017-05-17,10.76
2017-05-18,10.79
2017-05-19,10.87
2017-05-22,11.1
2017-05-23,11.05
2017-05-24,10.96
2017-05-25,10.86
2017-05-26,10.93
2017-05-30,11.08
2017-05-31,11.12
2017-06-01,11.41
2017-06-02,11.35
2017-06-05,11.25
2017-06-06,11.12
2017-06-07,11.07
2017-06-08,11.1
2017-06-09,11.13
2017-06-12,11.28
2017-06-13,11.27
2017-06-14,11.22
2017-06-15,11.24
2017-06-16,11.22
2017-06-19,11.24
2017-06-20,11.12
2017-06-21,11.04
2017-06-22,11.13
2017-06-23,11.04
2017-06-26,11.18
2017-06-27,11.08
2017-06-28,11.09
2017-06-29,11.17
2017-06-30,11.19
2017-07-03,11.56
2017-07-05,11.3
2017-07-06,11.18
2017-07-07,11.26
2017-07-10,11.34
2017-07-11,11.38
2017-07-12,11.47
2017-07-13,11.6
2017-07-14,11.68
2017-07-17,11.74
2017-07-18,11.75
2017-07-19,11.83
2017-07-20,11.7
2017-07-21,11.53
2017-07-24,11.29
2017-07-25,11.27
2017-07-26,11.06
2017-07-27,11.18
2017-07-28,11.17
2017-07-31,11.22
2017-08-01,10.95
2017-08-02,11.0
2017-08-03,10.93
2017-08-04,10.95
2017-08-07,10.92
2017-08-08,10.89
2017-08-09,10.92
2017-08-10,10.77
2017-08-11,10.77
2017-08-14,10.91
2017-08-15,10.84
2017-08-16,10.8
2017-08-17,10.64
2017-08-18,10.56
2017-08-21,10.57
2017-08-22,10.65
2017-08-23,10.71
2017-08-24,10.71
2017-08-25,10.82
2017-08-28,10.79
2017-08-29,10.84
2017-08-30,10.94
2017-08-31,11.03
2017-09-01,11.35
2017-09-05,11.36
2017-09-06,11.5
2017-09-07,11.4
2017-09-08,11.36
2017-09-11,11.41
2017-09-12,11.59
2017-09-13,11.62
2017-09-14,11.56
2017-09-15,11.62
2017-09-18,11.63
2017-09-19,11.72
2017-09-20,11.71
2017-09-21,11.72
2017-09-22,11.84
2017-09-25,11.94
2017-09-26,11.93
2017-09-27,11.95
2017-09-28,11.96
2017-09-29,11.97
2017-10-02,12.09
2017-10-03,12.34
2017-10-04,12.3
2017-10-05,12.25
2017-10-06,12.31
2017-10-09,12.34
2017-10-10,12.39
2017-10-11,12.38
2017-10-12,12.12
2017-10-13,12.05
2017-10-16,12.12
2017-10-17,12.27
2017-10-18,12.19
2017-10-19,12.23
2017-10-20,12.1
2017-10-23,12.04
2017-10-24,12.19
2017-10-25,12.04
2017-10-26,12.27
2017-10-27,12.06
2017-10-30,12.1
2017-10-31,12.27
2017-11-01,12.35
2017-11-02,12.42
2017-11-03,12.36
2017-11-06,12.33
2017-11-07,12.16
2017-11-08,12.06
2017-11-09,12.04
2017-11-10,12.01
2017-11-13,12.16
2017-11-14,12.02
2017-11-15,12.0
2017-11-16,12.04
2017-11-17,12.01
2017-11-20,12.13
2017-11-21,12.12
2017-11-22,12.07
2017-11-24,12.1
2017-11-27,12.11
2017-11-28,12.21
2017-11-29,12.56
2017-11-30,12.52
2017-12-01,12.58
2017-12-04,12.63
2017-12-05,12.43
2017-12-06,12.38
2017-12-07,12.53
2017-12-08,12.61
2017-12-11,12.58
2017-12-12,12.6
2017-12-13,12.63
2017-12-14,12.46
2017-12-15,12.58
2017-12-18,12.66
2017-12-19,12.69
2017-12-20,12.72
2017-12-21,12.63
2017-12-22,12.58
2017-12-26,12.6
2017-12-27,12.5
2017-12-28,12.58
2017-12-29,12.49
2018-01-02,12.66
2018-01-03,12.76
2018-01-04,12.98
2018-01-05,13.2
2018-01-08,13.15
2018-01-09,13.08
2018-01-10,13.03
2018-01-11,13.16
2018-01-12,13.23
2018-01-16,13.1
2018-01-17,12.18
2018-01-18,12.07
2018-01-19,12.0
2018-01-22,12.02
2018-01-23,11.96
2018-01-24,12.05
2018-01-25,11.57
2018-01-26,11.65
2018-01-29,11.12
2018-01-30,11.06
2018-01-31,10.97
2018-02-01,10.92
2018-02-02,10.71
2018-02-05,10.24
2018-02-06,10.76
2018-02-07,10.76
2018-02-08,10.43
2018-02-09,10.53
2018-02-12,10.7
2018-02-13,10.59
2018-02-14,10.74
2018-02-15,10.76
2018-02-16,10.61
2018-02-20,10.63
2018-02-21,10.6
2018-02-22,10.63
2018-02-23,10.7
2018-02-26,10.89
2018-02-27,10.61
2018-02-28,10.61
2018-03-01,10.29
2018-03-02,10.4
2018-03-05,10.58
2018-03-06,10.63
2018-03-07,10.63
2018-03-08,10.61
2018-03-09,10.73
2018-03-12,10.81
2018-03-13,10.78
2018-03-14,11.02
2018-03-15,11.07
2018-03-16,11.15
2018-03-19,11.01
2018-03-20,10.99
2018-03-21,11.1
2018-03-22,10.75
2018-03-23,10.56
2018-03-26,10.83
2018-03-27,10.83
2018-03-28,10.86
2018-03-29,11.08
2018-04-02,10.86
2018-04-03,11.15
2018-04-04,11.33
2018-04-05,11.35
2018-04-06,11.18
2018-04-09,11.25
2018-04-10,11.45
2018-04-11,11.43
2018-04-12,11.31
2018-04-13,11.28
2018-04-16,11.38
2018-04-17,11.38
2018-04-18,11.33
2018-04-19,10.96
2018-04-20,10.82
2018-04-23,11.04
2018-04-24,10.96
2018-04-25,11.11
2018-04-26,11.43
2018-04-27,11.49
2018-04-30,11.24
2018-05-01,11.26
2018-05-02,11.21
2018-05-03,11.2
2018-05-04,11.36
2018-05-07,11.34
2018-05-08,11.27
2018-05-09,11.06
2018-05-10,11.21
2018-05-11,11.19
2018-05-14,11.18
2018-05-15,11.22
2018-05-16,11.4
2018-05-17,11.46
2018-05-18,11.33
2018-05-21,11.51
2018-05-22,11.52
2018-05-23,11.44
2018-05-24,11.62
2018-05-25,11.51
2018-05-29,11.44
2018-05-30,11.55
2018-05-31,11.55
2018-06-01,11.71
2018-06-04,11.74
2018-06-05,11.83
2018-06-06,11.97
2018-06-07,12.03
2018-06-08,12.1
2018-06-11,12.03
2018-06-12,12.11
2018-06-13,12.02
2018-06-14,11.89
2018-06-15,11.88
2018-06-18,11.99
2018-06-19,11.89
2018-06-20,11.87
2018-06-21,11.71
2018-06-22,11.65
2018-06-25,11.5
2018-06-26,11.52
2018-06-27,11.42
2018-06-28,11.28
2018-06-29,11.07
2018-07-02,11.1
2018-07-03,10.99
2018-07-05,11.05
2018-07-06,11.06
2018-07-09,11.2
2018-07-10,11.25
2018-07-11,11.07
2018-07-12,11.05
2018-07-13,10.98
2018-07-16,10.85
2018-07-17,10.86
2018-07-18,10.87
2018-07-19,10.82
2018-07-20,10.56
2018-07-23,10.47
2018-07-24,10.57
2018-07-25,10.52
2018-07-26,9.89
2018-07-27,9.93
2018-07-30,10.07
2018-07-31,10.04
2018-08-01,9.9
2018-08-02,9.92
2018-08-03,10.04
2018-08-06,10.03
2018-08-07,10.08
2018-08-08,10.05
2018-08-09,9.91
2018-08-10,9.74
2018-08-13,9.46
2018-08-14,9.5
2018-08-15,9.45
2018-08-16,9.51
2018-08-17,9.55
2018-08-20,9.72
2018-08-21,9.86
2018-08-22,9.69
2018-08-23,9.63
2018-08-24,9.68
2018-08-27,9.99
2018-08-28,10.01
2018-08-29,9.97
2018-08-30,9.7
2018-08-31,9.48
2018-09-04,9.47
2018-09-05,9.49
2018-09-06,9.43
2018-09-07,9.27
2018-09-10,9.38
2018-09-11,9.31
2018-09-12,9.34
2018-09-13,9.37
2018-09-14,9.45
2018-09-17,9.55
2018-09-18,9.58
2018-09-19,9.78
2018-09-20,9.81
2018-09-21,9.85
2018-09-24,9.59
2018-09-25,9.39
2018-09-26,9.27
2018-09-27,9.23
2018-09-28,9.25
2018-10-01,9.32
2018-10-02,9.2
2018-10-03,9.13
2018-10-04,9.15
2018-10-05,9.12
2018-10-08,9.26
2018-10-09,8.95
2018-10-10,8.82
2018-10-11,8.81
2018-10-12,8.64
2018-10-15,8.81
2018-10-16,8.8
2018-10-17,8.76
2018-10-18,8.51
2018-10-19,8.5
2018-10-22,8.41
2018-10-23,8.59
2018-10-24,8.18
2018-10-25,8.99
2018-10-26,8.98
2018-10-29,9.28
2018-10-30,9.46
2018-10-31,9.55
2018-11-01,9.29
2018-11-02,9.38
2018-11-05,9.53
2018-11-06,9.54
2018-11-07,9.6
2018-11-08,9.46
2018-11-09,9.38
2018-11-12,9.49
2018-11-13,9.54
2018-11-14,9.54
2018-11-15,9.31
2018-11-16,9.05
2018-11-19,9.25
2018-11-20,9.06
2018-11-21,9.11
2018-11-23,9.13
2018-11-26,9.4
2018-11-27,9.28
2018-11-28,9.41
2018-11-29,9.37
2018-11-30,9.41
2018-12-03,9.6
2018-12-04,9.18
2018-12-06,9.02
2018-12-07,8.82
2018-12-10,8.52
2018-12-11,8.54
2018-12-12,8.64
2018-12-13,8.5
2018-12-14,8.52
2018-12-17,8.5
2018-12-18,8.47
2018-12-19,8.32
2018-12-20,8.26
2018-12-21,8.05
2018-12-24,7.63
2018-12-26,7.85
2018-12-27,7.85
2018-12-28,7.81
2018-12-31,7.65
2019-01-02,7.9
2019-01-03,7.78
2019-01-04,8.08
2019-01-07,8.29
2019-01-08,8.37
2019-01-09,8.72
2019-01-10,8.67
2019-01-11,8.82
2019-01-14,8.99
2019-01-15,8.84
2019-01-16,8.29
2019-01-17,8.36
2019-01-18,8.58
2019-01-22,8.5
2019-01-23,8.34
2019-01-24,8.6
2019-01-25,8.86
2019-01-28,8.66
2019-01-29,8.76
2019-01-30,8.71
2019-01-31,8.8
2019-02-01,8.72
2019-02-04,8.7
2019-02-05,8.75
2019-02-06,8.72
2019-02-07,8.31
2019-02-08,8.39
2019-02-11,8.33
2019-02-12,8.46
2019-02-13,8.41
2019-02-14,8.42
2019-02-15,8.54
2019-02-19,8.83
2019-02-20,8.94
2019-02-21,8.71
2019-02-22,8.71
2019-02-25,8.76
2019-02-26,8.88
2019-02-27,8.78
2019-02-28,8.77
2019-03-01,8.79
2019-03-04,8.81
2019-03-05,8.77
2019-03-06,8.58
2019-03-07,8.48
2019-03-08,8.42
2019-03-11,8.61
2019-03-12,8.57
2019-03-13,8.53
2019-03-14,8.41
2019-03-15,8.43
2019-03-18,8.57
2019-03-19,8.7
2019-03-20,8.51
2019-03-21,8.69
2019-03-22,8.54
2019-03-25,8.51
2019-03-26,8.76
2019-03-27,8.62
2019-03-28,8.77
2019-03-29,8.78
2019-04-01,8.98
2019-04-02,9.01
2019-04-03,9.13
2019-04-04,9.24
2019-04-05,9.25
2019-04-08,9.3
2019-04-09,9.21
2019-04-10,9.33
2019-04-11,9.39
2019-04-12,9.45
2019-04-15,9.33
2019-04-16,9.36
2019-04-17,9.5
2019-04-18,9.55
2019-04-22,9.5
2019-04-23,9.5
2019-04-24,9.57
2019-04-25,9.4
2019-04-26,10.41
2019-04-29,10.32
2019-04-30,10.45
2019-05-01,10.3
2019-05-02,10.34
2019-05-03,10.41
2019-05-06,10.37
2019-05-07,10.38
2019-05-08,10.34
2019-05-09,10.2
2019-05-10,10.38
2019-05-13,10.08
2019-05-14,10.24
2019-05-15,10.36
2019-05-16,10.4
2019-05-17,10.29
2019-05-20,10.28
2019-05-21,10.24
2019-05-22,9.97
2019-05-23,9.85
2019-05-24,9.83
2019-05-28,9.78
2019-05-29,9.71
2019-05-30,9.74
2019-05-31,9.52
2019-06-03,9.61
2019-06-04,9.92
2019-06-05,9.78
2019-06-06,9.75
2019-06-07,9.76
2019-06-10,9.82
2019-06-11,9.92
2019-06-12,9.85
2019-06-13,10.06
2019-06-14,9.98
2019-06-17,10.05
2019-06-18,10.1
2019-06-19,10.04
2019-06-20,10.04
2019-06-21,9.99
2019-06-24,9.95
2019-06-25,9.84
2019-06-26,9.91
2019-06-27,10.2
2019-06-28,10.23
2019-07-01,10.15
2019-07-02,10.12
2019-07-03,10.2
2019-07-05,10.2
2019-07-08,10.2
2019-07-09,10.14
