Date,Close
2017-01-03,18.26
2017-01-04,18.51
2017-01-05,18.28
2017-01-06,18.32
2017-01-09,18.26
2017-01-10,18.48
2017-01-11,18.59
2017-01-12,18.29
2017-01-13,18.58
2017-01-17,17.71
2017-01-18,18.13
2017-01-19,17.84
2017-01-20,17.86
2017-01-23,17.69
2017-01-24,18.05
2017-01-25,18.4
2017-01-26,18.45
2017-01-27,18.3
2017-01-30,18.07
2017-01-31,17.97
2017-02-01,18.04
2017-02-02,17.84
2017-02-03,18.37
2017-02-06,18.27
2017-02-07,18.09
2017-02-08,17.83
2017-02-09,18.14
2017-02-10,18.26
2017-02-13,18.46
2017-02-14,18.87
2017-02-15,19.1
2017-02-16,18.99
2017-02-17,18.96
2017-02-21,19.06
2017-02-22,18.93
2017-02-23,19.06
2017-02-24,18.74
2017-02-27,18.84
2017-02-28,18.77
2017-03-01,19.36
2017-03-02,18.88
2017-03-03,19.07
2017-03-06,18.99
2017-03-07,18.79
2017-03-08,18.79
2017-03-09,18.84
2017-03-10,18.58
2017-03-13,18.53
2017-03-14,18.47
2017-03-15,18.33
2017-03-16,18.47
2017-03-17,18.35
2017-03-20,18.08
2017-03-21,16.9
2017-03-22,17.15
2017-03-23,17.25
2017-03-24,17.24
2017-03-27,17.18
2017-03-28,17.49
2017-03-29,17.51
2017-03-30,17.99
2017-03-31,17.78
2017-04-03,17.73
2017-04-04,17.59
2017-04-05,17.2
2017-04-06,17.52
2017-04-07,17.44
2017-04-10,17.31
2017-04-11,17.33
2017-04-12,17.17
2017-04-13,17.0
2017-04-17,17.34
2017-04-18,17.2
2017-04-19,17.37
2017-04-20,18.21
2017-04-21,18.15
2017-04-24,18.55
2017-04-25,18.62
2017-04-26,18.68
2017-04-27,18.37
2017-04-28,18.24
2017-05-01,18.55
2017-05-02,18.48
2017-05-03,18.86
2017-05-04,18.9
2017-05-05,18.73
2017-05-08,18.67
2017-05-09,18.47
2017-05-10,18.5
2017-05-11,18.24
2017-05-12,18.21
2017-05-15,18.41
2017-05-16,18.54
2017-05-17,17.65
2017-05-18,17.68
2017-05-19,17.73
2017-05-22,17.71
2017-05-23,18.05
2017-05-24,18.07
2017-05-25,18.14
2017-05-26,17.99
2017-05-30,17.83
2017-05-31,17.47
2017-06-01,17.66
2017-06-02,17.41
2017-06-05,17.49
2017-06-06,17.49
2017-06-07,17.8
2017-06-08,18.2
2017-06-09,18.62
2017-06-12,18.58
2017-06-13,18.67
2017-06-14,18.8
2017-06-15,18.68
2017-06-16,18.54
2017-06-19,18.79
2017-06-20,18.57
2017-06-21,18.39
2017-06-22,18.2
2017-06-23,17.9
2017-06-26,18.12
2017-06-27,18.2
2017-06-28,18.38
2017-06-29,18.73
2017-06-30,18.74
2017-07-03,19.02
2017-07-05,19.2
2017-07-06,19.0
2017-07-07,19.22
2017-07-10,19.29
2017-07-11,19.24
2017-07-12,19.15
2017-07-13,19.37
2017-07-14,19.21
2017-07-17,19.14
2017-07-18,18.95
2017-07-19,19.07
2017-07-20,18.37
2017-07-21,18.02
2017-07-24,18.3
2017-07-25,18.48
2017-07-26,18.03
2017-07-27,18.06
2017-07-28,17.91
2017-07-31,18.04
2017-08-01,18.11
2017-08-02,18.07
2017-08-03,18.03
2017-08-04,18.4
2017-08-07,18.32
2017-08-08,18.35
2017-08-09,18.12
2017-08-10,17.62
2017-08-11,17.52
2017-08-14,17.91
2017-08-15,17.91
2017-08-16,17.98
2017-08-17,17.79
2017-08-18,17.59
2017-08-21,17.41
2017-08-22,17.62
2017-08-23,17.68
2017-08-24,17.64
2017-08-25,17.59
2017-08-28,17.39
2017-08-29,17.25
2017-08-30,17.28
2017-08-31,17.21
2017-09-01,17.36
2017-09-05,16.79
2017-09-06,16.91
2017-09-07,16.47
2017-09-08,16.62
2017-09-11,17.03
2017-09-12,17.46
2017-09-13,17.86
2017-09-14,17.88
2017-09-15,17.92
2017-09-18,18.09
2017-09-19,18.12
2017-09-20,18.15
2017-09-21,18.25
2017-09-22,18.32
2017-09-25,18.27
2017-09-26,18.34
2017-09-27,18.67
2017-09-28,18.66
2017-09-29,18.82
2017-10-02,18.9
2017-10-03,18.74
2017-10-04,18.57
2017-10-05,18.77
2017-10-06,18.69
2017-10-09,18.57
2017-10-10,18.65
2017-10-11,18.44
2017-10-12,18.24
2017-10-13,18.19
2017-10-16,18.43
2017-10-17,18.19
2017-10-18,18.58
2017-10-19,18.25
2017-10-20,18.49
2017-10-23,18.45
2017-10-24,18.46
2017-10-25,18.32
2017-10-26,18.52
2017-10-27,18.37
2017-10-30,18.23
2017-10-31,18.25
2017-11-01,18.28
2017-11-02,18.44
2017-11-03,18.51
2017-11-06,18.58
2017-11-07,18.1
2017-11-08,17.93
2017-11-09,17.85
2017-11-10,17.64
2017-11-13,17.92
2017-11-14,18.25
2017-11-15,18.14
2017-11-16,18.13
2017-11-17,18.31
2017-11-20,18.46
2017-11-21,18.28
2017-11-22,18.16
2017-11-24,18.14
2017-11-27,18.01
2017-11-28,18.48
2017-11-29,19.01
2017-11-30,18.98
2017-12-01,19.13
2017-12-04,19.63
2017-12-05,19.33
2017-12-06,19.38
2017-12-07,19.74
2017-12-08,19.89
2017-12-11,19.73
2017-12-12,20.0
2017-12-13,19.7
2017-12-14,19.52
2017-12-15,19.76
2017-12-18,20.16
2017-12-19,20.12
2017-12-20,20.09
2017-12-21,20.43
2017-12-22,20.44
2017-12-26,20.33
2017-12-27,20.24
2017-12-28,20.35
2017-12-29,20.17
2018-01-02,20.17
2018-01-03,20.24
2018-01-04,20.32
2018-01-05,20.33
2018-01-08,20.28
2018-01-09,20.74
2018-01-10,21.01
2018-01-11,21.19
2018-01-12,21.42
2018-01-16,21.32
2018-01-17,21.26
2018-01-18,20.82
2018-01-19,21.16
2018-01-22,21.39
2018-01-23,21.61
2018-01-24,21.73
2018-01-25,21.67
2018-01-26,21.83
2018-01-29,21.8
2018-01-30,21.43
2018-01-31,21.4
2018-02-01,21.93
2018-02-02,21.76
2018-02-05,20.61
2018-02-06,21.01
2018-02-07,21.13
2018-02-08,20.08
2018-02-09,20.39
2018-02-12,20.59
2018-02-13,20.55
2018-02-14,21.17
2018-02-15,20.95
2018-02-16,21.02
2018-02-20,20.95
2018-02-21,21.05
2018-02-22,20.53
2018-02-23,20.97
2018-02-26,21.18
2018-02-27,21.16
2018-02-28,21.13
2018-03-01,21.0
2018-03-02,21.34
2018-03-05,21.45
2018-03-06,21.7
2018-03-07,21.97
2018-03-08,21.81
2018-03-09,22.15
2018-03-12,21.8
2018-03-13,21.36
2018-03-14,20.92
2018-03-15,20.91
2018-03-16,20.96
2018-03-19,20.92
2018-03-20,20.93
2018-03-21,20.97
2018-03-22,20.02
2018-03-23,19.04
2018-03-26,19.93
2018-03-27,19.27
2018-03-28,19.27
2018-03-29,19.55
2018-04-02,19.03
2018-04-03,19.44
2018-04-04,19.67
2018-04-05,19.74
2018-04-06,19.09
2018-04-09,19.19
2018-04-10,19.63
2018-04-11,19.46
2018-04-12,19.85
2018-04-13,19.24
2018-04-16,19.34
2018-04-17,18.96
2018-04-18,18.87
2018-04-19,19.55
2018-04-20,19.86
2018-04-23,19.87
2018-04-24,20.07
2018-04-25,20.23
2018-04-26,20.29
2018-04-27,20.41
2018-04-30,19.92
2018-05-01,19.91
2018-05-02,19.76
2018-05-03,19.37
2018-05-04,19.7
2018-05-07,19.73
2018-05-08,19.79
2018-05-09,20.06
2018-05-10,20.28
2018-05-11,20.26
2018-05-14,20.16
2018-05-15,20.47
2018-05-16,20.35
2018-05-17,20.64
2018-05-18,20.25
2018-05-21,20.41
2018-05-22,20.61
2018-05-23,20.26
2018-05-24,20.44
2018-05-25,20.04
2018-05-29,19.2
2018-05-30,19.65
2018-05-31,19.44
2018-06-01,19.75
2018-06-04,19.9
2018-06-05,19.89
2018-06-06,20.43
2018-06-07,20.43
