Date,Close
2017-01-03,144.65
2017-01-04,147.05
2017-01-05,147.47
2017-01-06,148.4
2017-01-09,147.86
2017-01-10,147.97
2017-01-11,148.5
2017-01-12,148.99
2017-01-13,150.69
2017-01-17,149.77
2017-01-18,152.38
2017-01-19,150.26
2017-01-20,150.25
2017-01-23,149.81
2017-01-24,150.72
2017-01-25,150.74
2017-01-26,148.05
2017-01-27,148.18
2017-01-30,147.96
2017-01-31,147.49
2017-02-01,146.34
2017-02-02,148.05
2017-02-03,150.72
2017-02-06,147.7
2017-02-07,148.75
2017-02-08,151.25
2017-02-09,167.86
2017-02-10,168.91
2017-02-13,168.25
2017-02-14,167.36
2017-02-15,167.67
2017-02-16,166.54
2017-02-17,166.47
2017-02-21,166.57
2017-02-22,167.09
2017-02-23,168.37
2017-02-24,168.7
2017-02-27,169.88
2017-02-28,170.0
2017-03-01,164.75
2017-03-02,162.62
2017-03-03,164.58
2017-03-06,163.67
2017-03-07,163.2
2017-03-08,161.19
2017-03-09,161.19
2017-03-10,160.2
2017-03-13,159.85
2017-03-14,159.19
2017-03-15,161.82
2017-03-16,163.99
2017-03-17,162.23
2017-03-20,159.97
2017-03-21,156.47
2017-03-22,158.6
2017-03-23,158.36
2017-03-24,156.9
2017-03-27,156.34
2017-03-28,157.5
2017-03-29,152.5
2017-03-30,148.1
2017-03-31,151.43
2017-04-03,150.15
2017-04-04,141.6
2017-04-05,142.05
2017-04-06,145.47
2017-04-07,146.27
2017-04-10,146.32
2017-04-11,145.56
2017-04-12,144.22
2017-04-13,142.36
2017-04-17,144.34
2017-04-18,143.65
2017-04-19,143.18
2017-04-20,149.73
2017-04-21,147.66
2017-04-24,150.23
2017-04-25,148.86
2017-04-26,151.38
2017-04-27,145.65
2017-04-28,141.14
2017-05-01,148.18
2017-05-02,138.0
2017-05-03,131.26
2017-05-04,132.11
2017-05-05,133.4
2017-05-08,134.61
2017-05-09,134.89
2017-05-10,138.23
2017-05-11,136.46
2017-05-12,138.43
2017-05-15,140.12
2017-05-16,139.57
2017-05-17,135.78
2017-05-18,133.41
2017-05-19,135.78
2017-05-22,137.07
2017-05-23,135.97
2017-05-24,139.42
2017-05-25,141.06
2017-05-26,146.37
2017-05-30,145.44
2017-05-31,144.29
2017-06-01,147.6
2017-06-02,148.35
2017-06-05,150.16
2017-06-06,146.85
2017-06-07,145.58
2017-06-08,145.48
2017-06-09,143.94
2017-06-12,142.79
2017-06-13,147.24
2017-06-14,146.56
2017-06-15,144.51
2017-06-16,144.41
2017-06-19,143.54
2017-06-20,140.83
2017-06-21,139.98
2017-06-22,141.01
2017-06-23,144.08
2017-06-26,143.48
2017-06-27,143.13
2017-06-28,147.28
2017-06-29,146.0
2017-06-30,144.21
2017-07-03,145.37
2017-07-05,145.38
2017-07-06,144.16
2017-07-07,145.1
2017-07-10,144.78
2017-07-11,146.04
2017-07-12,146.46
2017-07-13,149.5
2017-07-14,149.03
2017-07-17,147.68
2017-07-18,149.14
2017-07-19,149.58
2017-07-20,149.0
2017-07-21,148.25
2017-07-24,148.36
2017-07-25,150.5
2017-07-26,153.75
2017-07-27,151.79
2017-07-28,152.05
2017-07-31,152.06
2017-08-01,154.2
2017-08-02,154.18
2017-08-03,154.18
2017-08-04,145.26
2017-08-07,142.46
2017-08-08,142.41
2017-08-09,140.23
