Date,Close
2017-01-03,223.52
2017-01-04,225.16
2017-01-05,227.56
2017-01-06,228.35
2017-01-09,226.79
2017-01-10,225.3
2017-01-11,219.76
2017-01-12,217.3
2017-01-13,214.12
2017-01-17,217.69
2017-01-18,215.6
2017-01-19,215.33
2017-01-20,217.97
2017-01-23,220.25
2017-01-24,222.39
2017-01-25,218.91
2017-01-26,218.25
2017-01-27,216.57
2017-01-30,214.99
2017-01-31,215.0
2017-02-01,213.29
2017-02-02,215.02
2017-02-03,216.53
2017-02-06,215.69
2017-02-07,216.48
2017-02-08,219.7
2017-02-09,218.47
2017-02-10,219.79
2017-02-13,220.06
2017-02-14,216.9
2017-02-15,217.08
2017-02-16,220.64
2017-02-17,225.76
2017-02-21,227.73
2017-02-22,226.24
2017-02-23,227.07
2017-02-24,228.41
2017-02-27,228.04
2017-02-28,227.46
2017-03-01,229.33
2017-03-02,226.97
2017-03-03,226.61
2017-03-06,227.92
2017-03-07,228.01
2017-03-08,223.82
2017-03-09,222.34
2017-03-10,220.07
2017-03-13,217.26
2017-03-14,219.35
2017-03-15,223.13
2017-03-16,220.54
2017-03-17,222.49
2017-03-20,223.64
2017-03-21,224.28
2017-03-22,225.77
2017-03-23,225.92
2017-03-24,222.91
2017-03-27,220.91
2017-03-28,222.16
2017-03-29,219.95
2017-03-30,219.4
2017-03-31,218.91
2017-04-03,219.31
2017-04-04,220.31
2017-04-05,222.29
2017-04-06,222.64
2017-04-07,223.6
2017-04-10,225.84
2017-04-11,226.37
2017-04-12,224.3
2017-04-13,225.97
2017-04-17,231.19
2017-04-18,231.18
2017-04-19,229.99
2017-04-20,229.4
2017-04-21,228.37
2017-04-24,226.47
2017-04-25,225.54
2017-04-26,223.93
2017-04-27,213.0
2017-04-28,209.38
2017-05-01,207.23
2017-05-02,207.27
2017-05-03,205.53
2017-05-04,207.63
2017-05-05,208.25
2017-05-08,208.45
2017-05-09,208.07
2017-05-10,208.92
2017-05-11,208.47
2017-05-12,208.64
2017-05-15,209.73
2017-05-16,208.14
2017-05-17,212.95
2017-05-18,216.12
2017-05-19,214.48
2017-05-22,215.6
2017-05-23,217.2
2017-05-24,217.57
2017-05-25,217.09
2017-05-26,216.39
2017-05-30,214.35
2017-05-31,215.35
2017-06-01,212.27
2017-06-02,213.92
2017-06-05,211.35
2017-06-06,207.9
2017-06-07,209.87
2017-06-08,210.91
2017-06-09,207.56
2017-06-12,207.04
2017-06-13,208.4
2017-06-14,209.88
2017-06-15,212.68
2017-06-16,213.66
2017-06-19,211.78
2017-06-20,211.75
2017-06-21,212.3
2017-06-22,211.18
2017-06-23,213.11
2017-06-26,212.49
2017-06-27,210.27
2017-06-28,209.44
2017-06-29,207.57
2017-06-30,208.53
2017-07-03,212.73
2017-07-05,208.06
2017-07-06,205.36
2017-07-07,207.03
2017-07-10,203.37
2017-07-11,203.26
2017-07-12,206.41
2017-07-13,204.82
2017-07-14,207.68
2017-07-17,207.59
2017-07-18,207.21
2017-07-19,207.77
2017-07-20,207.53
2017-07-21,208.94
2017-07-24,209.0
2017-07-25,207.72
2017-07-26,210.06
2017-07-27,198.28
2017-07-28,202.84
2017-07-31,205.57
2017-08-01,202.83
2017-08-02,202.22
2017-08-03,200.34
2017-08-04,201.49
2017-08-07,201.08
2017-08-08,200.68
2017-08-09,200.88
2017-08-10,200.65
2017-08-11,198.63
2017-08-14,200.54
2017-08-15,201.58
2017-08-16,199.01
2017-08-17,197.73
2017-08-18,196.29
2017-08-21,200.37
2017-08-22,201.59
2017-08-23,205.42
2017-08-24,204.67
2017-08-25,203.87
