Date,Close
2017-01-03,64.39
2017-01-04,65.74
2017-01-05,65.48
2017-01-06,64.29
2017-01-09,63.48
2017-01-10,62.69
2017-01-11,62.98
2017-01-12,62.36
2017-01-13,62.32
2017-01-17,62.26
2017-01-18,63.49
2017-01-19,62.63
2017-01-20,63.49
2017-01-23,63.26
2017-01-24,62.98
2017-01-25,63.0
2017-01-26,64.16
2017-01-27,64.74
2017-01-30,64.4
2017-01-31,64.49
2017-02-01,64.6
2017-02-02,64.14
2017-02-03,64.15
2017-02-06,64.67
2017-02-07,64.47
2017-02-08,63.51
2017-02-09,64.38
2017-02-10,64.4
2017-02-13,65.3
2017-02-14,65.33
2017-02-15,65.24
2017-02-16,65.42
2017-02-17,65.69
2017-02-21,67.46
2017-02-22,67.12
2017-02-23,66.31
2017-02-24,66.97
2017-02-27,66.23
2017-02-28,65.92
2017-03-01,67.26
2017-03-02,67.15
2017-03-03,68.24
2017-03-06,67.99
2017-03-07,67.94
2017-03-08,68.01
2017-03-09,67.7
2017-03-10,67.41
2017-03-13,67.91
2017-03-14,68.01
2017-03-15,68.18
2017-03-16,67.3
2017-03-17,66.95
2017-03-20,66.91
2017-03-21,65.97
2017-03-22,66.12
2017-03-23,66.73
2017-03-24,66.9
2017-03-27,67.49
2017-03-28,67.77
2017-03-29,68.25
2017-03-30,69.34
2017-03-31,69.36
2017-04-03,68.86
2017-04-04,69.2
2017-04-05,69.51
2017-04-06,68.88
2017-04-07,68.67
2017-04-10,68.22
2017-04-11,68.03
2017-04-12,67.16
2017-04-13,66.46
2017-04-17,67.18
2017-04-18,68.39
2017-04-19,68.57
2017-04-20,68.67
2017-04-21,66.84
2017-04-24,65.95
2017-04-25,66.41
2017-04-26,66.91
2017-04-27,66.34
2017-04-28,66.56
2017-05-01,66.65
2017-05-02,65.66
2017-05-03,63.46
2017-05-04,63.85
2017-05-05,65.2
2017-05-08,63.37
2017-05-09,63.56
2017-05-10,62.53
2017-05-11,62.75
2017-05-12,62.2
2017-05-15,62.08
2017-05-16,61.2
2017-05-17,60.38
2017-05-18,60.38
2017-05-19,61.66
2017-05-22,62.05
2017-05-23,61.47
2017-05-24,61.61
2017-05-25,61.6
2017-05-26,61.57
2017-05-30,61.52
2017-05-31,61.11
2017-06-01,61.73
2017-06-02,61.3
2017-06-05,60.34
2017-06-06,60.87
2017-06-07,61.17
2017-06-08,60.35
2017-06-09,60.71
2017-06-12,62.65
2017-06-13,61.85
2017-06-14,60.74
2017-06-15,61.51
2017-06-16,62.23
2017-06-19,62.24
2017-06-20,60.66
2017-06-21,62.53
2017-06-22,62.55
2017-06-23,63.61
2017-06-26,64.36
2017-06-27,64.02
2017-06-28,65.15
2017-06-29,63.55
2017-06-30,63.78
2017-07-03,64.16
2017-07-05,63.27
2017-07-06,62.07
2017-07-07,62.81
2017-07-10,63.7
2017-07-11,63.77
2017-07-12,63.37
2017-07-13,63.09
2017-07-14,63.95
2017-07-17,64.6
2017-07-18,64.2
2017-07-19,64.98
2017-07-20,65.86
2017-07-21,65.83
2017-07-24,66.26
2017-07-25,66.08
2017-07-26,66.62
2017-07-27,67.56
2017-07-28,67.43
2017-07-31,65.83
2017-08-01,66.08
2017-08-02,64.81
2017-08-03,64.83
2017-08-04,63.62
2017-08-07,64.52
2017-08-08,65.7
2017-08-09,65.35
2017-08-10,66.19
2017-08-11,66.71
2017-08-14,66.28
2017-08-15,66.7
2017-08-16,66.52
2017-08-17,65.69
2017-08-18,64.8
2017-08-21,65.01
2017-08-22,65.65
2017-08-23,64.72
2017-08-24,63.98
2017-08-25,63.89
2017-08-28,63.75
2017-08-29,63.27
2017-08-30,64.51
2017-08-31,64.06
2017-09-01,64.34
2017-09-05,63.64
2017-09-06,61.98
2017-09-07,60.5
2017-09-08,59.42
2017-09-11,58.0
2017-09-12,58.82
2017-09-13,60.51
2017-09-14,58.15
2017-09-15,58.23
2017-09-18,57.72
2017-09-19,58.85
2017-09-20,59.05
2017-09-21,58.79
2017-09-22,59.23
2017-09-25,60.1
2017-09-26,58.0
2017-09-27,58.21
2017-09-28,56.92
2017-09-29,58.0
2017-10-02,58.55
2017-10-03,58.89
2017-10-04,59.97
2017-10-05,58.9
2017-10-06,58.3
2017-10-09,57.92
2017-10-10,57.39
2017-10-11,57.1
2017-10-12,56.51
2017-10-13,57.0
2017-10-16,56.9
2017-10-17,56.66
2017-10-18,56.96
2017-10-19,57.83
2017-10-20,58.92
2017-10-23,57.95
2017-10-24,56.94
2017-10-25,57.23
2017-10-26,57.04
2017-10-27,56.75
2017-10-30,56.12
2017-10-31,56.12
2017-11-01,56.19
2017-11-02,54.46
2017-11-03,55.4
2017-11-06,56.96
2017-11-07,57.61
2017-11-08,57.25
2017-11-09,58.08
2017-11-10,56.74
2017-11-13,55.92
2017-11-14,56.41
2017-11-15,56.04
2017-11-16,56.4
2017-11-17,56.74
2017-11-20,55.93
2017-11-21,56.74
2017-11-22,56.24
2017-11-24,56.54
2017-11-27,55.96
2017-11-28,54.76
2017-11-29,56.54
2017-11-30,56.06
2017-12-01,57.11
2017-12-04,60.1
2017-12-05,58.1
2017-12-06,57.43
2017-12-07,57.2
2017-12-08,57.47
2017-12-11,57.68
2017-12-12,57.97
2017-12-13,57.17
2017-12-14,58.13
2017-12-15,58.9
2017-12-18,59.0
2017-12-19,59.46
2017-12-20,60.08
2017-12-21,60.53
2017-12-22,60.17
2017-12-26,60.19
2017-12-27,59.29
2017-12-28,59.26
2017-12-29,59.0
2018-01-02,59.17
2018-01-03,59.2
2018-01-04,58.0
2018-01-05,57.58
2018-01-08,56.76
2018-01-09,55.99
2018-01-10,56.66
2018-01-11,57.78
2018-01-12,58.83
2018-01-16,59.43
2018-01-17,58.9
2018-01-18,60.0
2018-01-19,57.75
2018-01-22,58.25
2018-01-23,57.52
2018-01-24,59.23
2018-01-25,59.27
2018-01-26,60.0
2018-01-29,58.73
2018-01-30,58.4
2018-01-31,57.61
2018-02-01,58.93
2018-02-02,55.4
2018-02-05,54.08
2018-02-06,53.81
2018-02-07,53.44
2018-02-08,51.8
2018-02-09,52.76
2018-02-12,53.16
2018-02-13,54.67
2018-02-14,55.85
2018-02-15,56.74
2018-02-16,55.39
2018-02-20,56.25
2018-02-21,55.38
2018-02-22,54.32
2018-02-23,55.12
2018-02-26,55.68
2018-02-27,54.15
2018-02-28,52.97
2018-03-01,52.11
2018-03-02,53.32
2018-03-05,53.41
2018-03-06,53.23
2018-03-07,52.11
2018-03-08,52.66
2018-03-09,52.18
2018-03-12,52.29
2018-03-13,51.9
2018-03-14,51.27
2018-03-15,51.04
2018-03-16,50.95
2018-03-19,50.81
2018-03-20,50.26
2018-03-21,50.87
2018-03-22,50.26
2018-03-23,49.27
2018-03-26,51.69
2018-03-27,52.35
2018-03-28,51.88
2018-03-29,51.39
2018-04-02,50.71
2018-04-03,52.86
2018-04-04,53.79
2018-04-05,52.88
2018-04-06,52.84
2018-04-09,52.85
2018-04-10,52.12
2018-04-11,51.01
2018-04-12,50.06
2018-04-13,50.07
2018-04-16,50.9
2018-04-17,51.14
2018-04-18,51.17
2018-04-19,50.95
2018-04-20,49.33
2018-04-23,49.71
2018-04-24,49.95
2018-04-25,50.42
2018-04-26,50.03
2018-04-27,49.97
2018-04-30,49.2
2018-05-01,49.61
2018-05-02,48.99
2018-05-03,48.74
2018-05-04,53.17
2018-05-07,52.42
2018-05-08,51.27
2018-05-09,51.44
2018-05-10,52.32
2018-05-11,52.52
2018-05-14,53.65
2018-05-15,54.42
2018-05-16,53.83
2018-05-17,51.61
2018-05-18,51.75
2018-05-21,52.0
2018-05-22,51.52
2018-05-23,50.51
2018-05-24,50.6
2018-05-25,50.97
2018-05-29,50.27
2018-05-30,51.23
2018-05-31,50.37
2018-06-01,49.98
2018-06-04,50.11
2018-06-05,50.23
2018-06-06,50.64
2018-06-07,51.01
2018-06-08,51.13
2018-06-11,51.99
2018-06-12,52.38
2018-06-13,54.26
2018-06-14,55.12
2018-06-15,56.11
2018-06-18,56.31
2018-06-19,56.46
2018-06-20,58.2
2018-06-21,56.4
2018-06-22,56.7
2018-06-25,56.24
2018-06-26,55.86
2018-06-27,55.71
2018-06-28,56.13
2018-06-29,56.22
2018-07-02,55.98
2018-07-03,55.64
2018-07-05,56.9
2018-07-06,58.15
2018-07-09,58.37
2018-07-10,58.74
2018-07-11,59.3
2018-07-12,59.12
2018-07-13,59.01
2018-07-16,58.83
2018-07-17,58.02
2018-07-18,58.22
2018-07-19,57.44
2018-07-20,57.23
2018-07-23,56.87
2018-07-24,56.66
2018-07-25,57.31
2018-07-26,57.53
2018-07-27,54.01
2018-07-30,51.28
2018-07-31,52.67
2018-08-01,52.55
2018-08-02,52.72
2018-08-03,53.16
2018-08-06,52.85
2018-08-07,53.22
2018-08-08,53.16
2018-08-09,53.57
2018-08-10,52.52
2018-08-13,52.21
2018-08-14,52.57
2018-08-15,52.8
2018-08-16,52.98
2018-08-17,53.22
2018-08-20,53.56
2018-08-21,53.97
2018-08-22,53.38
2018-08-23,52.88
2018-08-24,53.1
2018-08-27,53.66
2018-08-28,53.39
2018-08-29,53.89
2018-08-30,53.01
2018-08-31,53.02
2018-09-04,52.59
2018-09-05,52.95
2018-09-06,54.62
2018-09-07,56.06
2018-09-10,55.2
2018-09-11,55.4
2018-09-12,55.14
2018-09-13,56.21
2018-09-14,55.85
2018-09-17,56.28
2018-09-18,55.67
2018-09-19,55.97
2018-09-20,56.7
2018-09-21,56.74
2018-09-24,56.58
2018-09-25,56.55
2018-09-26,56.5
2018-09-27,56.55
2018-09-28,57.45
2018-10-01,55.76
2018-10-02,56.51
2018-10-03,55.91
2018-10-04,56.02
2018-10-05,55.32
2018-10-08,57.05
2018-10-09,57.38
2018-10-10,55.53
2018-10-11,53.82
2018-10-12,54.32
2018-10-15,54.36
2018-10-16,55.05
2018-10-17,55.86
2018-10-18,56.17
2018-10-19,57.2
2018-10-22,56.8
2018-10-23,56.26
2018-10-24,53.28
2018-10-25,54.68
2018-10-26,53.83
2018-10-29,54.13
2018-10-30,56.24
2018-10-31,57.35
2018-11-01,58.49
2018-11-02,56.17
2018-11-05,57.3
2018-11-06,57.79
2018-11-07,57.81
2018-11-08,57.92
2018-11-09,57.55
2018-11-12,57.13
2018-11-13,56.97
2018-11-14,56.96
2018-11-15,57.3
2018-11-16,57.49
2018-11-19,54.97
2018-11-20,52.88
2018-11-21,53.73
2018-11-23,53.92
2018-11-26,53.72
2018-11-27,54.12
2018-11-28,55.14
2018-11-29,55.35
2018-11-30,54.18
2018-12-03,53.51
2018-12-04,51.35
2018-12-06,51.31
2018-12-07,51.1
2018-12-10,49.76
2018-12-11,48.24
2018-12-12,48.66
2018-12-13,47.91
2018-12-14,48.05
2018-12-17,46.82
2018-12-18,46.2
2018-12-19,45.37
2018-12-20,44.14
2018-12-21,43.36
2018-12-24,42.02
2018-12-26,43.37
2018-12-27,43.37
2018-12-28,43.41
2018-12-31,43.72
2019-01-02,45.66
2019-01-03,46.13
2019-01-04,47.17
2019-01-07,47.67
2019-01-08,48.37
2019-01-09,47.8
2019-01-10,47.85
2019-01-11,47.97
2019-01-14,47.93
2019-01-15,47.8
2019-01-16,47.81
2019-01-17,48.77
2019-01-18,49.24
2019-01-22,48.46
2019-01-23,48.45
2019-01-24,48.98
2019-01-25,49.17
2019-01-28,50.05
2019-01-29,50.36
2019-01-30,49.5
2019-01-31,49.46
2019-02-01,49.67
2019-02-04,49.51
2019-02-05,49.81
2019-02-06,49.78
2019-02-07,49.15
2019-02-08,49.56
2019-02-11,48.09
2019-02-12,48.38
2019-02-13,48.43
