Date,Close
2017-01-03,103.5
2017-01-04,103.66
2017-01-05,103.04
2017-01-06,103.11
2017-01-09,102.47
2017-01-10,102.2
2017-01-11,103.2
2017-01-12,103.8
2017-01-13,103.77
2017-01-17,103.07
2017-01-18,102.91
2017-01-19,102.97
2017-01-20,103.24
2017-01-23,102.2
2017-01-24,103.24
2017-01-25,102.7
2017-01-26,102.04
2017-01-27,101.71
2017-01-30,101.97
2017-01-31,100.99
2017-02-01,95.25
2017-02-02,96.32
2017-02-03,96.87
2017-02-06,96.47
2017-02-07,96.29
2017-02-08,96.58
2017-02-09,97.65
2017-02-10,97.82
2017-02-13,98.58
2017-02-14,99.44
2017-02-15,99.65
2017-02-16,99.88
2017-02-17,99.68
2017-02-21,99.22
2017-02-22,100.42
2017-02-23,101.64
2017-02-24,103.0
2017-02-27,102.7
2017-02-28,102.62
2017-03-01,104.53
2017-03-02,104.07
2017-03-03,104.5
2017-03-06,104.95
2017-03-07,104.27
2017-03-08,103.71
2017-03-09,103.4
2017-03-10,104.55
2017-03-13,104.84
2017-03-14,103.97
2017-03-15,104.67
2017-03-16,104.25
2017-03-17,105.11
2017-03-20,104.45
2017-03-21,103.12
2017-03-22,103.68
2017-03-23,103.52
2017-03-24,103.38
2017-03-27,102.91
2017-03-28,103.28
2017-03-29,102.13
2017-03-30,102.17
2017-03-31,102.39
2017-04-03,101.27
2017-04-04,101.45
2017-04-05,101.93
2017-04-06,101.75
2017-04-07,102.19
2017-04-10,102.14
2017-04-11,102.09
2017-04-12,101.95
2017-04-13,101.26
2017-04-17,101.86
2017-04-18,101.93
2017-04-19,102.07
2017-04-20,103.04
2017-04-21,102.69
2017-04-24,104.14
2017-04-25,105.01
2017-04-26,104.86
2017-04-27,105.16
2017-04-28,104.49
2017-05-01,103.97
2017-05-02,104.01
2017-05-03,97.51
2017-05-04,99.1
2017-05-05,99.29
2017-05-08,96.7
2017-05-09,97.08
2017-05-10,96.63
2017-05-11,96.46
2017-05-12,97.17
2017-05-15,98.45
2017-05-16,98.32
2017-05-17,97.3
2017-05-18,98.35
2017-05-19,98.62
2017-05-22,99.45
2017-05-23,99.53
2017-05-24,99.98
2017-05-25,101.16
2017-05-26,101.35
2017-05-30,101.53
2017-05-31,102.37
2017-06-01,103.35
2017-06-02,100.98
2017-06-05,101.1
2017-06-06,101.2
2017-06-07,100.94
2017-06-08,100.77
2017-06-09,100.11
2017-06-12,101.54
2017-06-13,101.87
2017-06-14,101.25
2017-06-15,102.17
2017-06-16,103.49
2017-06-19,104.11
2017-06-20,102.48
2017-06-21,102.5
2017-06-22,101.91
2017-06-23,101.41
2017-06-26,102.21
2017-06-27,101.5
2017-06-28,102.68
2017-06-29,101.46
2017-06-30,102.46
2017-07-03,102.42
2017-07-05,104.07
2017-07-06,103.44
2017-07-07,105.14
2017-07-10,103.66
2017-07-11,101.84
2017-07-12,102.5
2017-07-13,101.63
2017-07-14,101.35
2017-07-17,101.7
2017-07-18,101.31
2017-07-19,102.75
2017-07-20,103.34
2017-07-21,104.58
2017-07-24,103.54
2017-07-25,103.18
2017-07-26,105.98
2017-07-27,115.63
2017-07-28,117.38
2017-07-31,118.91
2017-08-01,116.78
2017-08-02,115.25
2017-08-03,111.77
2017-08-04,111.39
2017-08-07,112.17
2017-08-08,108.51
2017-08-09,109.66
2017-08-10,108.9
2017-08-11,108.81
2017-08-14,109.69
2017-08-15,111.58
2017-08-16,111.1
2017-08-17,104.68
2017-08-18,104.41
2017-08-21,102.89
2017-08-22,103.72
2017-08-23,103.46
2017-08-24,104.59
2017-08-25,104.59
2017-08-28,104.76
2017-08-29,105.12
2017-08-30,105.93
2017-08-31,106.47
2017-09-01,107.35
2017-09-05,106.43
