Date,Close
2017-01-03,105.39
2017-01-04,106.39
2017-01-05,106.99
2017-01-06,107.76
2017-01-09,107.55
2017-01-10,107.32
2017-01-11,107.81
2017-01-12,108.71
2017-01-13,108.7
2017-01-17,108.4
2017-01-18,108.66
2017-01-19,108.53
2017-01-20,109.96
2017-01-23,109.63
2017-01-24,109.92
2017-01-25,110.19
2017-01-26,109.38
2017-01-27,109.84
2017-01-30,109.3
2017-01-31,106.33
2017-02-01,105.0
2017-02-02,105.14
2017-02-03,106.58
2017-02-06,106.59
2017-02-07,106.6
2017-02-08,106.72
2017-02-09,107.3
2017-02-10,107.27
2017-02-13,108.28
2017-02-14,108.88
2017-02-15,109.66
2017-02-16,109.3
2017-02-17,109.42
2017-02-21,110.16
2017-02-22,109.44
2017-02-23,110.74
2017-02-24,111.0
2017-02-27,110.57
2017-02-28,110.46
2017-03-01,112.31
2017-03-02,111.33
2017-03-03,111.74
2017-03-06,111.36
2017-03-07,110.96
2017-03-08,110.98
2017-03-09,110.79
2017-03-10,111.21
2017-03-13,111.53
2017-03-14,110.49
2017-03-15,112.02
2017-03-16,112.67
2017-03-17,112.83
2017-03-20,112.41
2017-03-21,110.71
2017-03-22,111.45
2017-03-23,111.6
2017-03-24,111.98
2017-03-27,111.94
2017-03-28,112.47
2017-03-29,112.06
2017-03-30,112.67
2017-03-31,112.47
2017-04-03,112.24
2017-04-04,112.09
2017-04-05,112.07
2017-04-06,112.43
2017-04-07,112.24
2017-04-10,112.32
2017-04-11,112.11
2017-04-12,111.47
2017-04-13,111.22
2017-04-17,112.67
2017-04-18,112.52
2017-04-19,112.29
2017-04-20,114.59
2017-04-21,114.27
2017-04-24,115.7
2017-04-25,116.13
2017-04-26,116.17
2017-04-27,117.1
2017-04-28,116.32
2017-05-01,116.37
2017-05-02,118.12
2017-05-03,117.33
2017-05-04,117.92
2017-05-05,117.5
2017-05-08,116.61
2017-05-09,116.41
2017-05-10,116.65
2017-05-11,116.53
2017-05-12,117.13
2017-05-15,118.21
2017-05-16,118.49
2017-05-17,116.8
2017-05-18,116.24
2017-05-19,117.58
2017-05-22,119.0
2017-05-23,119.6
2017-05-24,120.7
2017-05-25,121.92
2017-05-26,121.63
2017-05-30,121.65
2017-05-31,122.88
2017-06-01,123.4
2017-06-02,125.2
2017-06-05,125.9
2017-06-06,125.24
2017-06-07,125.19
2017-06-08,124.76
2017-06-09,123.04
2017-06-12,120.76
2017-06-13,122.32
2017-06-14,122.5
2017-06-15,121.42
2017-06-16,121.96
2017-06-19,123.09
2017-06-20,122.93
2017-06-21,123.1
2017-06-22,123.3
2017-06-23,124.01
2017-06-26,123.52
2017-06-27,122.74
2017-06-28,124.81
2017-06-29,121.51
2017-06-30,121.45
2017-07-03,120.78
2017-07-05,121.98
2017-07-06,120.8
2017-07-07,122.2
2017-07-10,122.73
2017-07-11,124.23
2017-07-12,125.28
2017-07-13,125.47
2017-07-14,127.01
2017-07-17,127.43
2017-07-18,127.73
2017-07-19,128.04
2017-07-20,128.47
2017-07-21,129.27
2017-07-24,129.52
2017-07-25,129.98
2017-07-26,130.99
2017-07-27,128.93
2017-07-28,127.91
2017-07-31,127.8
2017-08-01,129.49
2017-08-02,130.61
2017-08-03,129.89
2017-08-04,129.82
2017-08-07,130.38
2017-08-08,129.84
2017-08-09,129.72
2017-08-10,127.67
2017-08-11,128.55
2017-08-14,131.09
2017-08-15,131.58
2017-08-16,132.37
2017-08-17,130.88
2017-08-18,131.14
2017-08-21,131.94
2017-08-22,133.8
2017-08-23,133.07
2017-08-24,132.96
2017-08-25,132.75
2017-08-28,133.85
2017-08-29,133.84
2017-08-30,133.8
2017-08-31,133.3
2017-09-01,133.24
2017-09-05,132.66
2017-09-06,132.89
2017-09-07,136.53
2017-09-08,137.22
2017-09-11,141.99
2017-09-12,142.42
2017-09-13,140.1
2017-09-14,141.47
2017-09-15,141.58
2017-09-18,141.4
2017-09-19,142.49
2017-09-20,142.24
2017-09-21,141.72
2017-09-22,141.89
2017-09-25,138.57
2017-09-26,138.37
2017-09-27,139.67
2017-09-28,140.2
2017-09-29,141.2
2017-10-02,141.82
2017-10-03,143.02
2017-10-04,142.09
