Date,Close
2017-01-03,49.25
2017-01-04,50.3
2017-01-05,50.23
2017-01-06,49.86
2017-01-09,49.54
2017-01-10,49.94
2017-01-11,49.98
2017-01-12,49.77
2017-01-13,49.49
2017-01-17,48.75
2017-01-18,49.09
2017-01-19,49.42
2017-01-20,49.35
2017-01-23,48.88
2017-01-24,49.38
2017-01-25,46.73
2017-01-26,48.51
2017-01-27,47.77
2017-01-30,47.45
2017-01-31,47.37
2017-02-01,47.09
2017-02-02,47.54
2017-02-03,48.31
2017-02-06,48.28
2017-02-07,48.21
2017-02-08,48.01
2017-02-09,48.66
2017-02-10,48.9
2017-02-13,49.19
2017-02-14,49.2
2017-02-15,49.16
2017-02-16,49.01
2017-02-17,48.35
2017-02-21,48.21
2017-02-22,48.41
2017-02-23,47.21
2017-02-24,47.17
2017-02-27,47.86
2017-02-28,47.3
2017-03-01,49.58
2017-03-02,48.83
2017-03-03,48.06
2017-03-06,48.07
2017-03-07,47.85
2017-03-08,48.02
2017-03-09,47.43
2017-03-10,47.63
2017-03-13,47.38
2017-03-14,47.2
2017-03-15,47.84
2017-03-16,47.65
2017-03-17,47.74
2017-03-20,47.63
2017-03-21,46.78
2017-03-22,47.12
2017-03-23,46.91
2017-03-24,46.15
2017-03-27,46.36
2017-03-28,46.99
2017-03-29,47.09
2017-03-30,47.32
2017-03-31,47.59
2017-04-03,46.92
2017-04-04,47.2
2017-04-05,46.94
2017-04-06,47.42
2017-04-07,47.67
2017-04-10,48.16
2017-04-11,48.0
2017-04-12,47.46
2017-04-13,46.54
2017-04-17,46.85
2017-04-18,47.34
2017-04-19,46.01
2017-04-20,45.91
2017-04-21,46.66
2017-04-24,46.95
2017-04-25,47.03
2017-04-26,47.15
2017-04-27,47.08
2017-04-28,46.66
2017-05-01,46.13
2017-05-02,45.75
2017-05-03,46.23
2017-05-04,46.25
2017-05-05,46.62
2017-05-08,46.69
2017-05-09,47.08
2017-05-10,46.88
2017-05-11,48.57
2017-05-12,48.08
2017-05-15,47.97
2017-05-16,48.18
2017-05-17,46.19
2017-05-18,46.13
2017-05-19,46.49
2017-05-22,46.78
2017-05-23,47.12
2017-05-24,47.47
2017-05-25,48.17
2017-05-26,48.16
2017-05-30,47.99
2017-05-31,47.8
2017-06-01,47.72
2017-06-02,47.75
2017-06-05,47.04
2017-06-06,46.96
2017-06-07,46.84
2017-06-08,46.99
2017-06-09,47.29
2017-06-12,47.24
2017-06-13,47.68
2017-06-14,47.4
2017-06-15,47.29
2017-06-16,47.44
2017-06-19,48.1
2017-06-20,46.88
2017-06-21,46.19
2017-06-22,45.37
2017-06-23,45.78
2017-06-26,45.57
2017-06-27,46.45
2017-06-28,46.98
2017-06-29,46.64
2017-06-30,47.1
2017-07-03,47.73
2017-07-05,48.03
2017-07-06,47.43
2017-07-07,48.06
2017-07-10,48.52
2017-07-11,48.73
2017-07-12,48.81
2017-07-13,49.19
2017-07-14,49.64
2017-07-17,49.52
2017-07-18,49.54
2017-07-19,48.67
2017-07-20,48.63
2017-07-21,48.49
2017-07-24,48.79
2017-07-25,49.29
2017-07-26,49.11
2017-07-27,48.5
2017-07-28,49.25
2017-07-31,49.13
2017-08-01,49.39
2017-08-02,49.36
2017-08-03,49.04
2017-08-04,49.31
2017-08-07,49.4
2017-08-08,49.06
2017-08-09,49.13
2017-08-10,48.24
2017-08-11,48.48
2017-08-14,48.95
2017-08-15,49.09
2017-08-16,49.13
2017-08-17,48.12
2017-08-18,47.69
2017-08-21,47.53
2017-08-22,48.06
2017-08-23,47.99
2017-08-24,47.94
2017-08-25,48.43
2017-08-28,48.09
2017-08-29,48.16
2017-08-30,48.97
2017-08-31,49.09
2017-09-01,49.23
2017-09-05,48.7
2017-09-06,48.79
2017-09-07,48.71
2017-09-08,49.24
2017-09-11,51.19
2017-09-12,52.41
2017-09-13,52.35
2017-09-14,51.76
2017-09-15,51.61
2017-09-18,52.46
2017-09-19,52.74
2017-09-20,53.12
2017-09-21,53.06
2017-09-22,53.09
2017-09-25,53.07
2017-09-26,53.13
2017-09-27,53.96
2017-09-28,53.58
2017-09-29,53.88
2017-10-02,54.57
2017-10-03,54.5
2017-10-04,54.99
2017-10-05,55.65
2017-10-06,55.49
2017-10-09,55.33
2017-10-10,54.4
2017-10-11,53.92
2017-10-12,53.55
2017-10-13,53.26
2017-10-16,53.34
2017-10-17,53.07
2017-10-18,53.57
2017-10-19,53.1
2017-10-20,53.74
2017-10-23,53.7
2017-10-24,54.42
2017-10-25,53.71
2017-10-26,53.76
2017-10-27,53.03
2017-10-30,52.6
2017-10-31,52.74
2017-11-01,53.4
2017-11-02,54.28
2017-11-03,54.55
2017-11-06,54.43
2017-11-07,54.28
2017-11-08,54.85
2017-11-09,54.4
2017-11-10,54.27
2017-11-13,53.7
2017-11-14,53.57
2017-11-15,52.47
2017-11-16,52.9
2017-11-17,52.97
2017-11-20,53.48
2017-11-21,53.69
2017-11-22,53.53
2017-11-24,53.3
2017-11-27,53.48
2017-11-28,54.32
2017-11-29,54.84
2017-11-30,55.71
2017-12-01,54.89
2017-12-04,55.18
2017-12-05,54.01
2017-12-06,53.92
2017-12-07,54.79
2017-12-08,54.84
2017-12-11,54.63
2017-12-12,54.57
2017-12-13,54.62
2017-12-14,54.38
2017-12-15,55.22
2017-12-18,56.19
2017-12-19,56.35
2017-12-20,57.0
2017-12-21,57.18
2017-12-22,56.76
2017-12-26,56.88
2017-12-27,56.97
2017-12-28,57.0
2017-12-29,56.59
2018-01-02,57.3
2018-01-03,57.63
2018-01-04,57.58
2018-01-05,58.5
2018-01-08,58.35
2018-01-09,58.45
2018-01-10,58.4
